idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
69, PUBUS2OT, 0.8101, 0.7636, 0.1423, 0.3186
70, PUBUSCK1, 0.8084, 0.7600, -0.0651, -0.1584
71, PUBUSCK2, 0.8072, 0.7588, -0.2131, -0.3097
72, PUBUSCK3, 0.8067, 0.7621, -0.2833, 0.1154
73, PUBUSCK4, 0.8076, 0.7596, -0.1679, -0.2105
74, PURETOT, 0.8020, 0.7618, -0.8559, 0.0814
75, PUDIS, 0.8074, 0.7601, -0.1909, -0.1448
76, PERET1, 0.8064, 0.7602, -0.3139, -0.1281
77, PUDIS1, 0.8084, 0.7612, -0.0655, 0.0010
78, PUDIS2, 0.8014, 0.7619, -0.9326, 0.0939
79, PUABSOT, 0.8080, 0.7640, -0.1199, 0.3634
80, PULAY, 0.8086, 0.7636, -0.0462, 0.3126
81, PEABSRSN, 0.8093, 0.7626, 0.0451, 0.1796
82, PEABSPDO, 0.8081, 0.7603, -0.1012, -0.1191
83, PEMJOT, 0.7950, 0.7625, -1.7233, 0.1743
84, PEMJNUM, 0.8093, 0.7624, 0.0406, 0.1614
85, PEHRUSL1, 0.8013, 0.7621, -0.9475, 0.1206
86, PEHRUSL2, 0.8048, 0.7614, -0.5194, 0.0317
87, PEHRFTPT, 0.8079, 0.7633, -0.1304, 0.2741
88, PEHRUSLT, 0.8085, 0.7622, -0.0578, 0.1303
89, PEHRWANT, 0.8090, 0.7641, 0.0091, 0.3808
90, PEHRRSN1, 0.8078, 0.7612, -0.1423, -0.0055
91, PEHRRSN2, 0.8079, 0.7605, -0.1334, -0.0936
92, PEHRRSN3, 0.7944, 0.7615, -1.8047, 0.0361
93, PUHROFF1, 0.7957, 0.7633, -1.6418, 0.2715
94, PUHROFF2, 0.8061, 0.7622, -0.3478, 0.1363
95, PUHROT1, 0.8080, 0.7601, -0.1222, -0.1488
96, PUHROT2, 0.8021, 0.7629, -0.8427, 0.2205
97, PEHRACT1, 0.7967, 0.7597, -1.5134, -0.1958
98, PEHRACT2, 0.8073, 0.7614, -0.2038, 0.0320
99, PEHRACTT, 0.8084, 0.7586, -0.0742, -0.3388
100, PEHRAVL, 0.8050, 0.7624, -0.4953, 0.1580
101, PUHRCK1, 0.8007, 0.7624, -1.0251, 0.1566
102, PUHRCK2, 0.8085, 0.7615, -0.0586, 0.0437
103, PUHRCK3, 0.8038, 0.7641, -0.6336, 0.3856
104, PUHRCK4, 0.8078, 0.7623, -0.1422, 0.1429
105, PUHRCK5, 0.8073, 0.7600, -0.2004, -0.1636
106, PUHRCK6, 0.8076, 0.7628, -0.1705, 0.2107
107, PUHRCK7, 0.8001, 0.7618, -1.0982, 0.0795
108, PUHRCK12, 0.8023, 0.7610, -0.8243, -0.0270
109, PULAYDT, 0.8065, 0.7613, -0.3080, 0.0105
110, PULAY6M, 0.8052, 0.7594, -0.4646, -0.2318
111, PELAYAVL, 0.8069, 0.7606, -0.2596, -0.0785
112, PULAYAVR, 0.8086, 0.7624, -0.0437, 0.1565
113, PELAYLK, 0.8064, 0.7594, -0.3166, -0.2371
114, PELAYDUR, 0.8094, 0.7626, 0.0543, 0.1889
115, PELAYFTO, 0.8050, 0.7597, -0.4944, -0.1923
116, PULAYCK1, 0.8015, 0.7612, -0.9198, 0.0022
117, PULAYCK2, 0.8039, 0.7587, -0.6223, -0.3251
118, PULAYCK3, 0.8078, 0.7610, -0.1433, -0.0235
119, PULK, 0.8086, 0.7608, -0.0417, -0.0520
120, PELKM1, 0.8075, 0.7602, -0.1842, -0.1278
121, PULKM2, 0.8024, 0.7615, -0.8063, 0.0373
122, PULKM3, 0.8048, 0.7566, -0.5138, -0.6087
123, PULKM4, 0.8030, 0.7631, -0.7406, 0.2503
124, PULKM5, 0.8098, 0.7599, 0.1064, -0.1693
125, PULKM6, 0.7968, 0.7620, -1.5069, 0.1045
126, PULKDK1, 0.7994, 0.7635, -1.1802, 0.2965
127, PULKDK2, 0.8029, 0.7613, -0.7498, 0.0110
128, PULKDK3, 0.8080, 0.7618, -0.1228, 0.0847
129, PULKDK4, 0.8054, 0.7608, -0.4350, -0.0565
130, PULKDK5, 0.8070, 0.7637, -0.2412, 0.3272
131, PULKDK6, 0.8066, 0.7604, -0.2856, -0.1049
132, PULKPS1, 0.7983, 0.7617, -1.3230, 0.0681
133, PULKPS2, 0.8053, 0.7600, -0.4557, -0.1611
134, PULKPS3, 0.8073, 0.7612, -0.2001, -0.0035
135, PULKPS4, 0.8101, 0.7630, 0.1392, 0.2360
136, PULKPS5, 0.8083, 0.7626, -0.0778, 0.1845
137, PULKPS6, 0.8092, 0.7618, 0.0330, 0.0758
138, PELKAVL, 0.8097, 0.7612, 0.0863, -0.0026
139, PULKAVR, 0.8032, 0.7601, -0.7079, -0.1437
140, PELKLL1O, 0.7860, 0.7547, -2.8413, -0.8598
141, PELKLL2O, 0.7990, 0.7609, -1.2290, -0.0417
142, PELKLWO, 0.8092, 0.7626, 0.0343, 0.1834
143, PELKDUR, 0.8082, 0.7624, -0.0912, 0.1529
144, PELKFTO, 0.8048, 0.7595, -0.5118, -0.2177
145, PEDWWNTO, 0.8083, 0.7615, -0.0858, 0.0420
146, PEDWRSN, 0.8017, 0.7620, -0.8977, 0.0987
147, PEDWLKO, 0.8116, 0.7648, 0.3281, 0.4721
148, PEDWWK, 0.8075, 0.7581, -0.1792, -0.4093
149, PEDW4WK, 0.7899, 0.7578, -2.3510, -0.4431
150, PEDWLKWK, 0.8074, 0.7603, -0.1870, -0.1193
151, PEDWAVL, 0.8074, 0.7621, -0.1935, 0.1218
152, PEDWAVR, 0.8085, 0.7594, -0.0546, -0.2430
153, PUDWCK1, 0.8067, 0.7595, -0.2746, -0.2278
154, PUDWCK2, 0.8023, 0.7625, -0.8211, 0.1670
155, PUDWCK3, 0.7997, 0.7600, -1.1508, -0.1595
156, PUDWCK4, 0.8081, 0.7592, -0.1047, -0.2644
157, PUDWCK5, 0.8067, 0.7599, -0.2818, -0.1682
158, PEJHWKO, 0.8044, 0.7616, -0.5602, 0.0520
159, PUJHDP1O, 0.8095, 0.7611, 0.0639, -0.0081
160, PEJHRSN, 0.8048, 0.7628, -0.5109, 0.2047
161, PEJHWANT, 0.8077, 0.7615, -0.1544, 0.0338
162, PUJHCK1, 0.8070, 0.7620, -0.2398, 0.1049
163, PUJHCK2, 0.8008, 0.7632, -1.0144, 0.2640
164, PRABSREA, 0.8072, 0.7616, -0.2227, 0.0545
165, PRCIVLF, 0.8081, 0.7596, -0.1077, -0.2123
166, PRDISC, 0.8086, 0.7611, -0.0437, -0.0137
167, PREMPHRS, 0.8090, 0.7625, 0.0080, 0.1761
168, PREMPNOT, 0.8075, 0.7616, -0.1844, 0.0553
169, PREXPLF, 0.8067, 0.7621, -0.2831, 0.1153
170, PRFTLF, 0.7991, 0.7628, -1.2196, 0.2078
171, PRHRUSL, 0.8080, 0.7618, -0.1139, 0.0769
172, PRJOBSEA, 0.7983, 0.7616, -1.3148, 0.0550
173, PRPTHRS, 0.8073, 0.7598, -0.2001, -0.1846
174, PRPTREA, 0.8067, 0.7599, -0.2813, -0.1705
175, PRUNEDUR, 0.8071, 0.7609, -0.2319, -0.0342
176, PRUNTYPE, 0.7995, 0.7616, -1.1657, 0.0486
177, PRWKSCH, 0.8070, 0.7614, -0.2485, 0.0209
178, PRWKSTAT, 0.7887, 0.7584, -2.5022, -0.3743
179, PRWNTJOB, 0.8017, 0.7637, -0.8938, 0.3270
180, PUJHCK3, 0.8076, 0.7619, -0.1654, 0.0896
181, PUJHCK4, 0.8077, 0.7616, -0.1593, 0.0574
182, PUJHCK5, 0.8004, 0.7636, -1.0640, 0.3142
183, PUIODP1, 0.8059, 0.7596, -0.3778, -0.2096
184, PUIODP2, 0.7993, 0.7633, -1.1942, 0.2780
185, PUIODP3, 0.7985, 0.7604, -1.2870, -0.1086
186, PEIO1COW, 0.7991, 0.7619, -1.2170, 0.0900
187, PUIO1MFG, 0.8055, 0.7642, -0.4274, 0.3888
188, PEIO2COW, 0.8077, 0.7616, -0.1564, 0.0508
189, PUIO2MFG, 0.8066, 0.7623, -0.2906, 0.1423
190, PUIOCK1, 0.8062, 0.7575, -0.3408, -0.4834
191, PUIOCK2, 0.8094, 0.7611, 0.0597, -0.0082
192, PUIOCK3, 0.8065, 0.7582, -0.2995, -0.3949
193, PRIOELG, 0.8064, 0.7599, -0.3134, -0.1725
194, PRAGNA, 0.8092, 0.7628, 0.0326, 0.2089
195, PRCOW1, 0.8066, 0.7599, -0.2908, -0.1726
196, PRCOW2, 0.8095, 0.7625, 0.0616, 0.1693
197, PRCOWPG, 0.7955, 0.7613, -1.6695, 0.0156
198, PRDTCOW1, 0.7972, 0.7615, -1.4548, 0.0327
199, PRDTCOW2, 0.8075, 0.7606, -0.1778, -0.0785
200, PRDTIND1, 0.8061, 0.7578, -0.3581, -0.4504
201, PRDTIND2, 0.8102, 0.7635, 0.1493, 0.3058
202, PRDTOCC1, 0.8071, 0.7596, -0.2343, -0.2051
203, PRDTOCC2, 0.7890, 0.7587, -2.4713, -0.3240
204, PREMP, 0.8094, 0.7627, 0.0488, 0.2015
205, PRMJIND1, 0.8091, 0.7604, 0.0179, -0.1059
206, PRMJIND2, 0.8086, 0.7622, -0.0393, 0.1360
207, PRMJOCC1, 0.8064, 0.7610, -0.3150, -0.0212
208, PRMJOCC2, 0.7873, 0.7600, -2.6779, -0.1558
209, PRMJOCGR, 0.8041, 0.7607, -0.5967, -0.0677
210, PRNAGPWS, 0.8074, 0.7614, -0.1969, 0.0228
211, PRNAGWS, 0.8074, 0.7593, -0.1947, -0.2496
212, PRSJMJ, 0.8070, 0.7603, -0.2388, -0.1251
213, PRERELG, 0.8032, 0.7603, -0.7169, -0.1205
214, PEERNUOT, 0.8057, 0.7591, -0.3998, -0.2755
215, PEERNPER, 0.8059, 0.7596, -0.3844, -0.2149
216, PEERNRT, 0.7949, 0.7602, -1.7398, -0.1363
217, PEERNHRY, 0.8017, 0.7601, -0.8986, -0.1479
218, PUERNH1C, 0.8055, 0.7599, -0.4249, -0.1650
219, PEERNH2, 0.8024, 0.7617, -0.8152, 0.0710
220, PEERNH1O, 0.8085, 0.7619, -0.0626, 0.0876
221, PRERNHLY, 0.8079, 0.7617, -0.1359, 0.0604
222, PTHR, 0.8086, 0.7615, -0.0403, 0.0356
223, PEERNHRO, 0.8097, 0.7607, 0.0881, -0.0717
224, PRERNWA, 0.8080, 0.7629, -0.1221, 0.2267
225, PTWK, 0.8084, 0.7600, -0.0713, -0.1639
226, PEERN, 0.8074, 0.7613, -0.1868, 0.0073
227, PUERN2, 0.8094, 0.7616, 0.0518, 0.0491
228, PTOT, 0.8088, 0.7597, -0.0148, -0.1935
229, PEERNWKP, 0.8002, 0.7647, -1.0872, 0.4610
230, PEERNLAB, 0.8088, 0.7602, -0.0259, -0.1278
231, PEERNCOV, 0.8054, 0.7633, -0.4345, 0.2761
232, PENLFJH, 0.8029, 0.7626, -0.7459, 0.1774
233, PENLFRET, 0.8079, 0.7609, -0.1270, -0.0385
234, PENLFACT, 0.8042, 0.7616, -0.5902, 0.0551
235, PUNLFCK1, 0.8067, 0.7608, -0.2784, -0.0524
236, PUNLFCK2, 0.8068, 0.7585, -0.2646, -0.3598
237, PESCHENR, 0.8092, 0.7622, 0.0268, 0.1265
238, PESCHFT, 0.8080, 0.7598, -0.1192, -0.1804
239, PESCHLVL, 0.8071, 0.7608, -0.2316, -0.0571
240, PRNLFSCH, 0.8071, 0.7589, -0.2334, -0.3032
241, PWFMWGT, 0.8043, 0.7637, -0.5751, 0.3290
242, PWLGWGT, 0.8090, 0.7642, 0.0106, 0.3969
243, PWORWGT, 0.8050, 0.7595, -0.4877, -0.2220
244, PWSSWGT, 0.7957, 0.7611, -1.6334, -0.0099
245, PWVETWGT, 0.8002, 0.7620, -1.0802, 0.1077
246, PRCHLD, 0.8037, 0.7609, -0.6564, -0.0462
247, PRNMCHLD, 0.7936, 0.7603, -1.9042, -0.1189
248, PRWERNAL, 0.8057, 0.7570, -0.3980, -0.5473
249, PRHERNAL, 0.8070, 0.7599, -0.2442, -0.1688
250, HXTENURE, 0.8095, 0.7629, 0.0697, 0.2209
251, HXHOUSUT, 0.8103, 0.7634, 0.1595, 0.2835
252, HXTELHHD, 0.8071, 0.7594, -0.2307, -0.2364
253, HXTELAVL, 0.8041, 0.7599, -0.5976, -0.1664
254, HXPHONEO, 0.8051, 0.7638, -0.4774, 0.3394
255, PXINUSYR, 0.8068, 0.7612, -0.2677, -0.0017
256, PXRRP, 0.8094, 0.7626, 0.0483, 0.1794
257, PXPARENT, 0.8097, 0.7629, 0.0961, 0.2290
258, PXAGE, 0.8065, 0.7614, -0.3070, 0.0287
259, PXMARITL, 0.8048, 0.7648, -0.5203, 0.4713
260, PXSPOUSE, 0.8050, 0.7622, -0.4923, 0.1296
261, PXSEX, 0.8073, 0.7634, -0.2009, 0.2838
262, PXAFWHN1, 0.8046, 0.7606, -0.5377, -0.0796
263, PXAFNOW, 0.7966, 0.7617, -1.5258, 0.0657
264, PXEDUCA, 0.8003, 0.7621, -1.0747, 0.1237
265, PXRACE1, 0.8072, 0.7587, -0.2117, -0.3232
266, PXNATVTY, 0.8093, 0.7619, 0.0381, 0.0908
267, PXMNTVTY, 0.8008, 0.7656, -1.0027, 0.5839
268, PXFNTVTY, 0.8053, 0.7619, -0.4531, 0.0945
269, PXHSPNON, 0.8082, 0.7614, -0.0928, 0.0320
270, PXMLR, 0.8063, 0.7618, -0.3248, 0.0777
271, PXRET1, 0.8080, 0.7600, -0.1179, -0.1548
272, PXABSRSN, 0.8096, 0.7625, 0.0801, 0.1712
273, PXABSPDO, 0.8062, 0.7607, -0.3369, -0.0638
274, PXMJOT, 0.8058, 0.7632, -0.3856, 0.2617
275, PXMJNUM, 0.8092, 0.7642, 0.0319, 0.3903
276, PXHRUSL1, 0.8076, 0.7606, -0.1655, -0.0812
277, PXHRUSL2, 0.7986, 0.7588, -1.2805, -0.3133
278, PXHRFTPT, 0.8065, 0.7600, -0.3022, -0.1536
279, PXHRUSLT, 0.7948, 0.7621, -1.7524, 0.1159
280, PXHRWANT, 0.8084, 0.7597, -0.0638, -0.2034
281, PXHRRSN1, 0.8026, 0.7627, -0.7865, 0.1976
282, PXHRRSN2, 0.8038, 0.7624, -0.6351, 0.1536
283, PXHRACT1, 0.8078, 0.7610, -0.1412, -0.0332
284, PXHRACT2, 0.8079, 0.7626, -0.1354, 0.1830
285, PXHRACTT, 0.8043, 0.7618, -0.5744, 0.0755
286, PXHRRSN3, 0.8082, 0.7602, -0.0965, -0.1371
287, PXHRAVL, 0.7984, 0.7619, -1.3021, 0.0890
288, PXLAYAVL, 0.8074, 0.7597, -0.1876, -0.2039
289, PXLAYLK, 0.8071, 0.7594, -0.2243, -0.2409
290, PXLAYDUR, 0.8067, 0.7590, -0.2851, -0.2851
291, PXLAYFTO, 0.8026, 0.7600, -0.7905, -0.1540
292, PXLKM1, 0.8070, 0.7610, -0.2418, -0.0293
293, PXLKAVL, 0.8082, 0.7623, -0.0907, 0.1432
294, PXLKLL1O, 0.8100, 0.7632, 0.1234, 0.2615
295, PXLKLL2O, 0.8089, 0.7607, -0.0059, -0.0621
296, PXLKLWO, 0.8065, 0.7592, -0.3031, -0.2647
297, PXLKDUR, 0.8087, 0.7617, -0.0359, 0.0661
298, PXLKFTO, 0.8081, 0.7604, -0.1036, -0.1114
299, PXDWWNTO, 0.8090, 0.7634, 0.0035, 0.2874
300, PXDWRSN, 0.8075, 0.7603, -0.1829, -0.1153
301, PXDWLKO, 0.7977, 0.7628, -1.3871, 0.2043
302, PXDWWK, 0.8069, 0.7594, -0.2598, -0.2350
303, PXDW4WK, 0.8083, 0.7613, -0.0795, 0.0139
304, PXDWLKWK, 0.8072, 0.7616, -0.2194, 0.0490
305, PXDWAVL, 0.8046, 0.7640, -0.5335, 0.3608
306, PXDWAVR, 0.8081, 0.7633, -0.1107, 0.2798
307, PXJHWKO, 0.8053, 0.7581, -0.4585, -0.4122
308, PXJHRSN, 0.8003, 0.7618, -1.0653, 0.0765
309, PXJHWANT, 0.8060, 0.7568, -0.3662, -0.5821
310, PXIO1COW, 0.8082, 0.7602, -0.0945, -0.1306
311, PXIO1ICD, 0.8078, 0.7605, -0.1384, -0.0874
312, PXIO1OCD, 0.8073, 0.7614, -0.2071, 0.0223
313, PXIO2COW, 0.8084, 0.7629, -0.0678, 0.2166
314, PXIO2ICD, 0.8061, 0.7596, -0.3553, -0.2129
315, PXIO2OCD, 0.8061, 0.7608, -0.3573, -0.0488
316, PXERNUOT, 0.8084, 0.7615, -0.0677, 0.0439
317, PXERNPER, 0.8088, 0.7621, -0.0203, 0.1225
318, PXERNH1O, 0.8069, 0.7594, -0.2565, -0.2427
319, PXERNHRO, 0.8026, 0.7612, -0.7897, 0.0018
320, PXERN, 0.8099, 0.7617, 0.1127, 0.0714
321, PXERNWKP, 0.7988, 0.7616, -1.2593, 0.0532
322, PXERNRT, 0.8048, 0.7627, -0.5198, 0.2011
323, PXERNHRY, 0.8074, 0.7626, -0.1918, 0.1774
324, PXERNH2, 0.8084, 0.7604, -0.0682, -0.1034
325, PXERNLAB, 0.8100, 0.7648, 0.1322, 0.4743
326, PXERNCOV, 0.8073, 0.7605, -0.2038, -0.0945
327, PXNLFJH, 0.8071, 0.7607, -0.2289, -0.0614
328, PXNLFRET, 0.8067, 0.7593, -0.2838, -0.2554
329, PXNLFACT, 0.8054, 0.7597, -0.4411, -0.2002
330, PXSCHENR, 0.8077, 0.7598, -0.1606, -0.1814
331, PXSCHFT, 0.7999, 0.7640, -1.1146, 0.3696
332, PXSCHLVL, 0.8036, 0.7569, -0.6608, -0.5632
333, QSTNUM, 0.8019, 0.7603, -0.8709, -0.1132
334, OCCURNUM, 0.8093, 0.7634, 0.0471, 0.2897
335, PEDIPGED, 0.8073, 0.7624, -0.2063, 0.1634
336, PEHGCOMP, 0.8077, 0.7599, -0.1565, -0.1721
337, PECYC, 0.8033, 0.7604, -0.6944, -0.1062
338, PEGRPROF, 0.7816, 0.7510, -3.3843, -1.3399
339, PEGR6COR, 0.8022, 0.7604, -0.8310, -0.1014
340, PEMS123, 0.8018, 0.7613, -0.8842, 0.0093
341, PXDIPGED, 0.8091, 0.7613, 0.0154, 0.0071
342, PXHGCOMP, 0.8074, 0.7623, -0.1889, 0.1462
343, PXCYC, 0.8073, 0.7609, -0.2010, -0.0381
344, PXGRPROF, 0.8081, 0.7610, -0.1016, -0.0266
345, PXGR6COR, 0.8071, 0.7624, -0.2301, 0.1543
346, PXMS123, 0.8002, 0.7619, -1.0773, 0.0928
347, PWCMPWGT, 0.8073, 0.7608, -0.2075, -0.0574
348, PEIO1ICD, 0.8077, 0.7611, -0.1615, -0.0154
349, PEIO1OCD, 0.7931, 0.7614, -1.9624, 0.0245
350, PEIO2ICD, 0.8079, 0.7607, -0.1339, -0.0610
351, PEIO2OCD, 0.8090, 0.7621, 0.0055, 0.1144
352, PRIMIND1, 0.8062, 0.7599, -0.3400, -0.1759
353, PRIMIND2, 0.8076, 0.7615, -0.1740, 0.0354
354, PEAFWHN1, 0.8067, 0.7596, -0.2774, -0.2121
355, PEAFWHN2, 0.8076, 0.7613, -0.1627, 0.0061
356, PEAFWHN3, 0.8036, 0.7597, -0.6598, -0.1943
357, PEAFWHN4, 0.7970, 0.7606, -1.4817, -0.0744
358, PXAFEVER, 0.8091, 0.7596, 0.0233, -0.2173
359, PELNDAD, 0.7995, 0.7644, -1.1751, 0.4202
360, PELNMOM, 0.8068, 0.7610, -0.2612, -0.0279
361, PEDADTYP, 0.8066, 0.7583, -0.2915, -0.3781
362, PEMOMTYP, 0.8094, 0.7607, 0.0507, -0.0715
363, PECOHAB, 0.8027, 0.7621, -0.7709, 0.1133
364, PXLNDAD, 0.8017, 0.7608, -0.9010, -0.0596
365, PXLNMOM, 0.8077, 0.7648, -0.1612, 0.4713
366, PXDADTYP, 0.8101, 0.7625, 0.1347, 0.1672
367, PXMOMTYP, 0.8067, 0.7587, -0.2784, -0.3258
368, PXCOHAB, 0.8088, 0.7624, -0.0248, 0.1598
369, PEDISEAR, 0.8084, 0.7632, -0.0631, 0.2658
370, PEDISEYE, 0.8071, 0.7613, -0.2303, 0.0171
371, PEDISREM, 0.8067, 0.7591, -0.2746, -0.2746
372, PEDISPHY, 0.8074, 0.7605, -0.1947, -0.0896
373, PEDISDRS, 0.8074, 0.7591, -0.1941, -0.2741
374, PEDISOUT, 0.8028, 0.7618, -0.7661, 0.0763
375, PRDISFLG, 0.8083, 0.7613, -0.0812, 0.0147
376, PXDISEAR, 0.7965, 0.7628, -1.5458, 0.2057
377, PXDISEYE, 0.8098, 0.7621, 0.1087, 0.1216
378, PXDISREM, 0.8089, 0.7607, -0.0045, -0.0635
379, PXDISPHY, 0.8076, 0.7624, -0.1628, 0.1560
380, PXDISDRS, 0.8058, 0.7586, -0.3930, -0.3386
381, PXDISOUT, 0.8046, 0.7582, -0.5403, -0.3975
